,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Time-stamp
0,1,Bitcoin,BTC,bitcoin,10121,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19329131.0,19329131.0,,1,,,,2023-03-26T23:59:00.000Z,27994.32951422271,13878363191.950117,3.7014,-0.27868737,1.81715935,-0.15815809,20.67495331,21.0939503,65.45302517,541106062437.57715,46.3904,587880919798.68,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
1,1027,Ethereum,ETH,ethereum,6639,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-03-26T23:59:00.000Z,1775.67675039735,6990313307.24827,5.6847,-0.11405329,1.8300613,-0.55443334,10.4020383,10.17339358,44.71995823,217296429099.18317,18.628,217296429099.18,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
2,825,Tether,USDT,tether,50191,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,79022291662.57704,83091735571.98807,,3,,,,2023-03-26T23:59:00.000Z,1.0008931913406522,21431041961.937378,-4.9392,0.01728415,0.00447721,-0.21078075,0.08229922,0.07176025,0.08981681,79092873689.20856,6.7808,83165952390.68,,2023-03-26T23:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-03-27 00:01:13.241455
3,1839,BNB,BNB,bnb,1231,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157889545.9579814,159979963.59042934,,4,,,,2023-03-26T23:59:00.000Z,328.8879903551823,363216135.78771514,-17.2746,-0.0203146,1.92607653,-2.40081952,8.88393989,7.02238577,34.68071095,51927975468.2127,4.4502,52615488722.35,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
4,3408,USD Coin,USDC,usd-coin,11164,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33883082551.477314,33883082551.477314,,5,,,,2023-03-26T23:59:00.000Z,0.999884658818244,3302521189.3250484,-9.0435,0.00847388,0.01488511,0.00397555,-0.01601495,-0.01777289,-0.02181047,33879174436.69429,2.9031,33879174436.69,,2023-03-26T23:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-03-27 00:01:13.241455
5,52,XRP,XRP,xrp,908,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50950912949.0,99989113908.0,,6,,,,2023-03-26T23:59:00.000Z,0.4488171296050623,1090501587.742722,-40.4997,-0.43063785,0.92208013,15.53611363,18.58515924,7.45151132,22.72059438,22867642500.52758,1.9597,44881712960.51,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
6,2010,Cardano,ADA,cardano,746,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34731014773.558,35626240479.45,,7,,,,2023-03-26T23:59:00.000Z,0.35624543974083417,219918828.25673246,3.9998,-0.14581084,1.20730432,2.95823318,-2.6170835,-4.59672266,34.28160888,12372765630.651577,1.0607,16031044788.34,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
7,3890,Polygon,MATIC,polygon,634,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9080469069.28493,10000000000.0,,8,,,,2023-03-26T23:59:00.000Z,1.1055984225221247,274232223.70717263,-12.5716,-0.31619887,2.44572189,-5.4201158,-12.6669769,11.26938527,35.90361392,10039352278.762363,0.8606,11055984225.22,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
8,74,Dogecoin,DOGE,dogecoin,667,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-03-26T23:59:00.000Z,0.07441728832771533,228916506.36390367,-20.1912,-0.10856074,0.50382455,-0.52872415,-8.01375417,-14.06183898,-1.80191338,9872998519.56358,0.8464,9872998519.56,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
9,5426,Solana,SOL,solana,449,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,383900328.22964156,539312704.8875339,,10,,,,2023-03-26T23:59:00.000Z,20.97551862132118,226663967.9984801,-16.9576,-0.30479404,2.58659976,-4.236258,-9.0119018,-14.63457855,85.5155232,8052508483.512159,0.6904,11312363684.08,,2023-03-26T23:59:00.000Z,,,,,,2023-03-27 00:01:13.241455
